,movie_id,title,tags
0,19995,Avatar,"22nd centuri , parapleg marin dispatch moon pandora uniqu mission , becom torn follow order protect alien civil . action adventur fantasi sciencefict cultureclash futur spacewar spacecoloni societi spacetravel futurist romanc space alien tribe alienplanet cgi marin soldier battl loveaffair antiwar powerrel mindandsoul 3d samworthington zoesaldana sigourneyweav stephenlang michellerodriguez giovanniribisi joeldavidmoor cchpounder wesstudi lazalonso dileeprao mattgerald seananthonymoran jasonwhyt scottlawr kellykilgour jamespatrickpitt seanpatrickmurphi peterdillon kevindorman kelsonhenderson davidvanhorn jacobtomuri michaelblain-rozgay joncurri lukehawk woodyschultz petermensah soniaye jahnelcurfman ilramchoi kylawarren lisaroumain debrawilson chrismala taylorkibbi jodielandau julielamm cullenb.madden josephbradymadden frankietorr austinwilson sarawilson tamicawashington-mil lucybri nathanmeist gerryblair matthewchamberlain paulyat wraywilson jamesgaylyn melvinlenoclarkiii carvonfutrel brandonjelk micahmoch hanniyahmuhammad christophernolen christaoliv aprilmariethoma bravitaa.threatt colinbleasdal mikebodnar mattclayton nicoledionn jamieharrison allanhenri anthonyingrub ashleyjefferi deanknowsley josephmika-hunt terrynotari kaipantano loganpithy stuartpollock raja garethruck rhiansheehan t.j.storm jodietaylor aliciavela-bailey richardwhitesid nikiezambo julenerene jameshorn jamescameron"
1,285,Pirates of the Caribbean: At World's End,"captain barbossa , long believ dead , come back life head edg earth turner elizabeth swann . noth quit seem . adventur fantasi action ocean drugabus exoticisland eastindiatradingcompani loveofone'slif traitor shipwreck strongwoman ship allianc calypso afterlif fighter pirat swashbuckl aftercreditssting johnnydepp orlandobloom keiraknightley stellanskarsgård chowyun-fat billnighi geoffreyrush jackdavenport kevinmcn tomholland naomieharri jonathanpryc keithrichard leearenberg mackenziecrook gregelli davidbaili martinklebba davidschofield laurenmah vanessabranch angusbarnett gilesnew reggiele dominicscottkay takayofisch davidmeuni ho-kwants andybeckwith peterdonaldbadalamentiii christophers.capp keithrichard hakeemkae-kazim ghassanmassoud goreverbinski hanszimm"
2,206647,Spectre,"cryptic messag bond ’ past send trail uncov sinist organ . battl polit forc keep secret servic aliv , bond peel back layer deceit reveal terribl truth behind spectr . action adventur crime spi basedonnovel secretag sequel mi6 britishsecretservic unitedkingdom danielcraig christophwaltz léaseydoux ralphfienn monicabellucci benwhishaw naomieharri davebautista andrewscott rorykinnear jesperchristensen alessandrocremona stephaniesigman tenochhuerta adrianapaz domenicofortunato marcozingaro stefanoelfidiclaudia ianbonar tamwilliam richardbanham pipcart simonlenagan alessandrobressanello marczinga brigittemillar adelbencherif gediminasadoma peppelanzetta francescoarca matteotaranto emilioaniba benitosagredo daitabuchi georgelasha sargonyelda andycheung erickhayden olegmirochnikov antoniosalin miloudmouradbenamara gidoschimanski nigelbarb patricenaiambana stephanecornicard garyfannin sadaoueda philliplaw waiwong josephbalderrama eijimihara junichikajioka victorschefé haraldwindisch tristanmatthia detlefboth bodofrieseck wilhemiben noemikrausz noahsaavedra francisattakpah michaelglantschnig marlonboess mariewohlmuth lilieppli konstantingerlach laraparmiani umitulgen amramallassi ziadabaza walidmumuni derekhorsham nariblair-mangat michaelwhit adammcgradi naderdernaika pezhmaanalinia judidench nevegachev karlfarr kimadi maurisaselenecoleman matijamondimatović thomasnewman sammend"
3,49026,The Dark Knight Rises,"follow death district attorney harvey dent , batman assum respons dent 's crime protect late attorney 's reput subsequ hunt gotham citi polic depart . eight year later , batman encount mysteri selina kyle villain bane , new terrorist leader overwhelm gotham 's finest . dark knight resurfac protect citi brand enemi . action crime drama thriller dccomic crimefight terrorist secretident burglar hostagedrama timebomb gothamc vigilant cover-up superhero villai tragichero terror destruct catwoman catburglar imax flood criminalunderworld batman christianbal michaelcain garyoldman annehathaway tomhardi marioncotillard josephgordon-levitt morganfreeman cillianmurphi junotempl liamneeson matthewmodin alonaboutboul benmendelsohn nestorcarbonel joshpenc tomconti joeyk warrenbrown danielsunjata samkennard aliashtepina nickjulian mirandanolan clairejulien aidangillen burngorman brettcullen reggiele josephlyletaylor chriselli duanehenri jamesharveyward gonzalomenendez cameronjack lexdaniel tylerdeanflor thomaslennon trevorwhit robbrown fredriclehn courtneymunch chrishil travisguba jaybenedict willest daviddayanfish glenpowel russfega andresperez-molina brentbrisco johnnolan olivercotton markkilleen sarahgoldberg johnmacmillan robertwisdom ronniegeneblevin johnhollingworth ianbohen urigavriel noelgugliemi hectoratreyuruiz patrickcox aramisknight joshstewart williamdevan davidgyasi patrickjordan joshuaelijahrees desmondharrington mychaelb tomasarana peterholden davidmonahan jillianarmenant ajaevan aldousdavidson wadewilliam jakecanuso massifurlan christopherjudg patrickleahi toddgearhart marcabbink isiahadam charliealejandro robertarensen grantbabbitt fileenabahri rickboland kylepatrickbrennan scottchurchson billcowh grahamcurri stephaniedominiehlert johnfarr frankfata christopherbryangomez vitograssi michaelwrengucciardo samharri edheavey johnw.iwanonkiw cindyjackson danieljordano williamkania tiffanykemp sunjaekim hrvojeklecz alexkruz tylerlamarr lejon pauljudeleterski joelipari silvialombardo jorgemardel calemcconnel daviddalemccu tiffanysandermckenzi allenmerritt olanmontgomeri alexmoor shanenolan jacksonnunn josepho'brien michaelpapajohn salomonpassariello kyledavidpierc troypolamalu michaelpow jamesrawl kirstenroet benroethlisberg markroman anthonyj.sacco ericsalazar emilyschooley thomastul chrisvaina vincentvanommen michellevezzani barbaravinc justinmichaelwood jasonye mariazambrana johnzion alexziwak tommybayioko matthewgooley jeffmoffitt markfalvo diogohausen garysiev orionmccab londonmay jamesquinn danielnewman hanszimm christophernolan"
4,49529,John Carter,"john carter war-weari , former militari captain 's inexplic transport mysteri exot planet barsoom ( mar ) reluctantli becom embroil epic conflict . 's world brink collaps , carter rediscov human realiz surviv barsoom peopl rest hand . action adventur sciencefict basedonnovel mar medallion spacetravel princess alien steampunk martian escap edgarriceburrough alienrac superhumanstrength marscivil swordandplanet 19thcenturi 3d taylorkitsch lynncollin samanthamorton willemdafo thomashadenchurch markstrong ciaránhind dominicwest jamespurefoy bryancranston pollywalk darylsabara arkiereec davoodghadami pippanixon jamesembre philipphilmar emilytierney edmundkent nicholaswoodeson kyleagnew donstark joshdaugherti jaredcyr christophergoodman amandaclayton josephbillingier andrewstanton"
5,559,Spider-Man 3,"seemingli invinc spider-man goe all-new crop villain – includ shape-shift sandman . spider-man ’ superpow alter alien organ , alter ego , peter parker , deal nemesi eddi brock also get caught love triangl . fantasi action adventur dualident amnesia sandstorm loveofone'slif forgiv spider wretch deathofafriend egomania sand narcism hostil marvelcom sequel superhero reveng tobeymaguir kirstendunst jamesfranco thomashadenchurch tophergrac brycedallashoward rosemaryharri jamescromwel j.k.simmon theresarussel dylanbak billnunn elizabethbank tedraimi perlahaney-jardin willemdafo cliffrobertson elyabaskin mageinatovah michaelpapajohn joemanganiello stanle brucecampbel christopheryoung grantcurti danielgilli johnpaxton beckyannbak stevevalentin halfishman lucygordon toniwynn andreb.blak timmaculan marcvann joebay greggdaniel rogeliot.ramo timothypatrickquil kathrynbryd joevirzi bille.rog michaelalexand aprilparker-jon edwardpadilla robertcurtisbrown paulterrellclayton carolynneff christinacindrich sonyamaddox derrick'phoenix'thoma jessicollin michaelmclaughlin annegartlan emiliorivera keithwoulard reynaldogallego jimcoop deanedward margaretlaney aimeemil tanyabond markkubr tonybesson ramonadam a.j.adelman angelisalexandri dawnmarieanderson frankanello anyaavaeva davidbacku tiffanyl.bak marcc.cancassi sujeileecandel michaelciesla irinacosta johncrann crystalmariedenha amyv.dewhurst pauledney nataliefabri keithfausnaught amandaflorian briannaleannflorian tiffanyashleyflorian shaunpatrickflynn loganfri kevinfung tonygaltieri chuckgerena brianhopson claudejay juliejei andrewjamesjon nataliejon christopherjud brittanykral alyssalakota tialatrel lindale pierangelillina bernadettelord sandrinemarli lauramcdavid nataliemcneil danielmignault marthamillan michele-nanettemil claudiakatzminnick robertmy josepho'brien jenoda anjeliapelay nickpoltoranin vanessareseland lariv briarobert luisrosa vanessaross brennaroth shaderup aricksalmea ericshackelford danielshaf abbeyskinn kristinsomo jenniferspark christopherstaduli jimmystar arnestarr liamston tajnatanov aijaterauda brigidturn evelynvaccaro nickvlassopoulo sincerelya.ward silqwebst graigf.weich fredrickweiss jenniferweston trentonwilley raywinet samraimi christopheryoung"
6,38757,Tangled,"kingdom 's wanted-and charming-bandit flynn rider hide mysteri tower , 's taken hostag rapunzel , beauti feisti tower-bound teen 70 feet magic , golden hair . flynn 's curiou captor , 's look ticket tower 's lock away year , strike deal handsom thief unlik duo set action-pack escapad , complet super-cop hors , over-protect chameleon gruff gang pub thug . anim famili hostag magic hors fairytal music princess anim tower blondewoman selfish healingpow basedonfairytal duringcreditssting healinggift animalsidekick zacharylevi mandymoor donnamurphi ronperlman m.c.gainey jeffreytambor bradgarrett paulf.tompkin richardkiel delaneyrosestein nathangreno byronhoward timmerten alanmenken kevinkliesch byronhoward nathangreno"
7,99861,Avengers: Age of Ultron,"toni stark tri jumpstart dormant peacekeep program , thing go awri earth ’ mightiest hero put ultim test fate planet hang balanc . villain ultron emerg , aveng stop enact terribl plan , soon uneasi allianc unexpect action pave way epic uniqu global adventur . action adventur sciencefict marvelcom sequel superhero basedoncomicbook vision superheroteam duringcreditssting marvelcinematicunivers 3d robertdowneyjr . chrishemsworth markruffalo chrisevan scarlettjohansson jeremyrenn jamesspad samuell.jackson doncheadl aarontaylor-johnson elizabetholsen paulbettani cobiesmuld anthonymacki hayleyatwel idriselba lindacardellini stellanskarsgård claudiakim thomaskretschmann andyserki juliedelpi stanle henrygoodman chrisluca brianschaeff dominiqueprovost-chalkley isaacandrew garethkieranjon chanwoolim minheeyeo bentleykalu julianbleach christopherbeasley vuyodabula nondumisotemb kabelothai leleleowaba mandlagaduka harrietmanamela beulahhash muscakumalo mathapeloseptemb antonyacheampong chiomaanyanwu bensakamoto imogenpoynton isabellapoynton ingvilddeila sunnyyeo namjugo minakweon earlt.kim arthurle verityhewlett michaelmatovski almanoc riccardorichetta constanzaruff montymclaren-clark juliakrynk tonychristensen iankay barryaird aaronhimelstein kerrycondon jaidenstafford dilyanabouklieva joshbrolin jotinagra nickw.nicholson danielwestwood dannyelfman briantyl josswhedon"
8,767,Harry Potter and the Half-Blood Prince,"harri begin sixth year hogwart , discov old book mark 'properti half-blood princ ' , begin learn lord voldemort 's dark past . adventur fantasi famili witch magic broom schoolofwitchcraft wizardri apparit teenagecrush werewolf danielradcliff rupertgrint emmawatson tomfelton michaelgambon jimbroadb helenabonhamcart robbiecoltran maggiesmith alanrickman timothyspal davidthewli juliewalt matthewlewi evannalynch bonniewright oliverphelp jamesphelp markwilliam warwickdavi nataliatena katieleung davelegeno geraldinesomervil helenmccrori freddiestroma davidbradley frankdillan herofiennes-tiffin gemmajon afshanazad shefalichowdhuri georginaleonida devonmurray annashaff joshherdman jamiewaylett scarlettbyrn jessiecav louiscordic alfieenoch robertknox williammel paulritt isabellalaughland ralphineson suzannetoas rodhunt elaricagallach davidy nicholashoop"
9,209112,Batman v Superman: Dawn of Justice,"fear action god-lik super hero left uncheck , gotham citi ’ formid , forc vigilant take metropoli ’ rever , modern-day savior , world wrestl sort hero realli need . batman superman war one anoth , new threat quickli aris , put mankind greater danger ’ ever known . action adventur fantasi dccomic vigilant superhero basedoncomicbook reveng superpow clarkkent brucewayn dcextendedunivers benaffleck henrycavil galgadot amyadam jesseeisenberg dianelan jeremyiron laurencefishburn hollyhunt scootmcnairi callanmulvey taookamoto jenamalon brandonspink laurencohan hughmaguir michaelcassidi aland.purwin danamboy rebeccabul harrylennix christinawren jadechynoweth chadkrowchuk kevincostn ezramil patrickwilson michaelshannon charlieros vikramgandhi andrewsullivan neildegrassetyson jonstewart soledado'brien erikar.erickson danabash nancygrac andersoncoop brookebaldwin carlagugino jasonmomoa joemorton rayfish josephcranford emilypeterson jeffreydeanmorgan sammirotibi hannadworkin tiffanyl.addison owaisahm anishjethmalani tiffanybedwel nataleearteaga keithd.gallagh jeffduma miriamle aliciaregan stephaniekoenig ripleysobo richardburden juliustennon wunmimosaku dennisnorth kiffvandenheuvel masonheidg ahneyh kristinecabanban sebastiansozzi kentshocknek ralphlist sammya.publ jayr.adam davidmidura jaytow michaelellison kirillostapenko rashontaewawrzyniak tomluginbil davepasch dannymooney henryfrostiii nicoleforest debbiestabenow milicagovich johnlepard sandralovealdridg grahamw.j.b henrifranklin jonathanwest t.j.martinelli chrisnewman luludahl samlogankhaleghi annemariedamman conniecraig henriettahermelin patrickleahi albertvalladar davidpari abigailkukli gregvioland tirenjham stevejasgur jonathanstanley jessenagi duvalemurchison thomasj.fentress coburngoss jeffhanlin garya.heck robinatkindown issacryanbrown bartonbund baileychas patricko'connorcronin sonjacrosbi c.t.fletcher ahmangreen dianagaitirira jalenemack esodiegeig nenenwoko scottedwardlogan marcusgoddard cruzgonzalez-cadel almamartinez sallopez marcelshihadeh theobonganindyalvan satorishakoor elebardha inderkumar brandonbautista lauraatwood debbiescaletta davidleach gordonmichael brianboland taraslo jasonhughley sidihenderson meighangerachi nicolesantini axelharney waynee.brown dantebriggin shannongarnett lynchr.travi carmengangal joecipriano willblagrov marcelobem hanszimm zacksnyd junkiexl"
